City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
geraldton,75,AU,1617052978,60,-28.7667,114.6,75.2,4.61
marienburg,100,PL,1617053245,85,54.0359,19.0266,51.01,9.8
ushuaia,40,AR,1617053423,62,-54.8,-68.3,51.8,6.91
mmabatho,46,ZA,1617053410,82,-25.85,25.6333,60.8,5.75
kaitangata,100,NZ,1617053442,81,-46.2817,169.8464,61.0,4.0
albany,2,US,1617053189,34,42.6001,-73.9662,46.0,1.99
chokurdakh,97,RU,1617053538,99,70.6333,147.9167,-4.67,5.73
eureka,8,US,1617053048,56,40.8021,-124.1637,60.01,10.0
hithadhoo,100,MV,1617052970,76,-0.6,73.0833,82.62,27.67
roald,90,NO,1617053539,61,62.5833,6.1333,46.4,27.63
punta arenas,100,PH,1617053539,87,8.9897,125.34,75.67,3.18
busselton,13,AU,1617053423,95,-33.65,115.3333,62.01,4.68
bethel,1,US,1617053408,25,41.3712,-73.414,51.8,8.05
fortuna,1,US,1617053017,46,40.5982,-124.1573,55.99,23.02
kiama,66,AU,1617053512,79,-34.6833,150.8667,60.01,1.99
jamestown,1,US,1617053341,52,42.097,-79.2353,41.0,8.75
vaini,75,TO,1617053424,83,-21.2,-175.2,82.4,5.75
catalao,82,BR,1617053059,55,-18.1658,-47.9464,77.31,3.06
klerksdorp,30,ZA,1617053540,65,-26.8521,26.6667,63.07,6.22
atuona,28,PF,1617053444,79,-9.8,-139.0333,80.49,18.79
bambous virieux,20,MU,1617053315,88,-20.2567,57.4061,75.99,6.91
gold coast,1,US,1617053296,24,35.7932,-81.762,66.2,6.91
beaverlodge,75,CA,1617053278,50,55.2166,-119.4361,23.0,13.8
port moresby,96,CD,1617053025,73,-7.0349,29.7638,72.46,5.1
new norfolk,75,LR,1617052813,83,6.6518,-10.5932,82.4,3.47
tabuk,11,PH,1617053362,84,17.4189,121.4443,71.58,3.29
bluff,100,NZ,1617053430,97,-46.6,168.3333,55.0,6.22
chuy,25,UY,1617053541,87,-33.6971,-53.4616,67.37,15.14
cape town,0,CL,1617053541,46,-36.413,-71.9028,75.2,11.5
qurayyat,0,SA,1617053541,33,31.3318,37.3428,55.4,2.3
grand river south east,1,US,1617052923,8,38.8755,-109.5012,75.0,19.57
yellowknife,20,CA,1617053311,47,62.456,-114.3525,6.01,13.8
lavrentiya,99,RU,1617053522,88,65.5833,-171.0,13.95,12.08
champerico,75,GT,1617053542,58,14.3,-91.9167,89.6,13.8
tuktoyaktuk,20,CA,1617053421,77,69.4541,-133.0374,-11.2,16.11
avarua,20,CK,1617053542,74,-21.2078,-159.775,84.2,13.8
belyy yar,100,RU,1617053543,97,55.8402,32.9419,35.85,9.48
